	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol	chr
FBgn0066084	4387.80418922201	2.42250148107882	0.120854835312475	20.0447212129771	2.24435522491322e-89	1.93844960775754e-85	RpL41	2R
FBgn0086661	336.752405379065	3.72335689247481	0.210683090632363	17.6727846610717	6.79579416307185e-70	2.93476370932258e-66	snoRNA:Psi28S-2566	3L
FBgn0058469	1199.01964596028	2.26126500485309	0.171633440979615	13.1749674885424	1.22280102993301e-39	3.52044416517715e-36	CR40469	X
FBgn0263476	523.522762074762	3.76799990129271	0.295462427851897	12.7528902022746	3.00397971204054e-37	6.48634319322353e-34	snoRNA:CG32479-b	3L
FBgn0263461	104.183348137442	4.18979761655982	0.352777913046633	11.8765871150385	1.56632769241472e-32	2.70567445587719e-29	snoRNA:CG32479-a	3L
FBgn0082973	230.149039454887	5.33217383570296	0.453426837609771	11.7597226132696	6.29407339120262e-32	9.06031864663617e-29	snoRNA:Psi28S-3308	3L
FBgn0263470	4946.30027068478	2.64512400662223	0.225935554914881	11.7074269590669	1.16769620837177e-31	1.44077030738671e-28	snoRNA:Tudor-SN-a	3L
FBgn0086662	363.356189748284	5.39359475766153	0.476463067965343	11.3200688999758	1.04389843588652e-29	1.12701884884399e-26	snoRNA:Psi28S-3186	3R
FBgn0045800	819.130003373219	1.00245259287628	0.0902039429955154	11.1131793088703	1.08235916430024e-28	1.03870401134013e-25	Uhg1	2R
FBgn0032518	3186.0559658728	1.07585541010737	0.0973987032199825	11.0458904948403	2.29480978938262e-28	1.98202721508977e-25	RpL24	2L
FBgn0267910	3318.20233725376	2.50283542128283	0.233996563992903	10.6960349270716	1.06227067433417e-26	8.3407561947493e-24	MRE16	X
FBgn0285952	4990.11328476061	1.09766598966463	0.103253805682287	10.6307557616052	2.14368198128352e-26	1.54291510602881e-23	eEF5	2R
FBgn0037899	587.526322788586	1.27510063622931	0.12182371004651	10.4667690365241	1.22761720695162e-25	8.15609985880085e-23	RpL24-like	3R
FBgn0082967	188.664709446062	4.31187866389552	0.412595139108979	10.4506288494025	1.45556864025514e-25	8.9798188184883e-23	snoRNA:Psi28S-3327a	3L
FBgn0020618	3805.1503518215	-1.10316514043857	0.107030806569932	-10.3069870796291	6.55233390419181e-25	3.77283386203364e-22	Rack1	2L
FBgn0014184	2567.14918427489	0.751910318762354	0.0734245585665308	10.2405834429503	1.30447322641434e-24	7.04170953533789e-22	Oda	2R
FBgn0086670	395.814371384187	4.11662960452718	0.404916326924263	10.1666179672157	2.79443368461451e-24	1.41973669023621e-21	snoRNA:Psi28S-2622	3L
FBgn0040010	1005.59226965494	0.857642646471729	0.084733072275373	10.1216989239395	4.42664199214109e-24	2.12405038256237e-21	CG17493	2L
FBgn0086672	384.210384243741	5.43394349956247	0.537894668808267	10.1022445743916	5.39920162446349e-24	2.45436339107848e-21	snoRNA:Or-aca5	2R
FBgn0263474	181.487878618385	6.9669666687386	0.690614739375088	10.0880654169686	6.23868945210579e-24	2.69417803989189e-21	scaRNA:PsiU2-38.40.42	2L
FBgn0002183	1765.5694689209	-0.736715320527494	0.0731615895924152	-10.0697008448252	7.52064850764188e-24	3.09313529335728e-21	dre4	3L
FBgn0263485	495.625185748627	3.32651366079572	0.334378829356654	9.9483381384998	2.56429512252693e-23	1.00671895333023e-20	scaRNA:PsiU2-55	2R
FBgn0027588	2005.45871507656	-0.728085556130576	0.0737859197497732	-9.86754056329039	5.75585570269231e-23	2.16144894365885e-20	GCS2alpha	X
FBgn0086664	120.688680008597	4.42454582575084	0.451319052607046	9.80358750686999	1.08656493985278e-22	3.9102755772952e-20	snoRNA:Psi28S-2149	3R
FBgn0083005	442.425908553234	4.07636779690442	0.421021765151216	9.68208328954285	3.59318232797224e-22	1.24137263066785e-19	snoRNA:Psi28S-1175a	2R
FBgn0038810	326.073583826406	-1.06823679672751	0.110443308958837	-9.67226359657203	3.95531108574836e-22	1.31392391721572e-19	Srp72	3R
FBgn0083025	43.7743457366768	4.52869351776422	0.476306247867248	9.50794481080671	1.94466395143084e-21	6.22076390685489e-19	snoRNA:Psi18S-640b	2L
FBgn0010638	985.122534641012	1.06977937591837	0.113028028648157	9.4647264816807	2.94330345663069e-21	9.07903998389975e-19	Sec61beta	2R
FBgn0034277	2216.97940835642	-0.781547861117017	0.0833812786450325	-9.37318153208217	7.03784382979583e-21	2.09606403992919e-18	OstDelta	2R
FBgn0083039	233.95566349646	1.83213283588324	0.195799052819916	9.35720990217622	8.18700279892113e-21	2.35703810580939e-18	snoRNA:Psi18S-301	3R
FBgn0267398	547.368667813325	1.04705850992051	0.112154900533479	9.33582487203007	1.00207890115606e-20	2.79192111912416e-18	Yeti	2R
FBgn0263460	50.3325473323997	3.6172987438858	0.3888083854924	9.30355125778661	1.35831398196372e-20	3.66617433194396e-18	snoRNA:CG31191-a	3R
FBgn0000319	8836.9305606494	-0.484297951258034	0.0524092482290092	-9.24069639659453	2.44898084576902e-20	6.40965077724456e-18	Chc	X
FBgn0261396	660.990219969235	-0.996387529963476	0.108255041955644	-9.20407504319042	3.44626422430035e-20	8.75452473684768e-18	Rpn3	2L
FBgn0052230	495.267429364449	1.48784706932159	0.162627132133682	9.14882436774791	5.75564785710296e-20	1.42032944405138e-17	ND-MLRQ	3L
FBgn0027066	2182.70904885394	0.725368222924587	0.0794137789861202	9.13403482601382	6.59927921979203e-20	1.5832770728151e-17	Eb1	2R
FBgn0026088	126.037448628905	1.44307666309929	0.158279511587749	9.11726760225223	7.70421787069883e-20	1.79841431754664e-17	CG14818	X
FBgn0086443	2143.78496611178	-0.92194407879	0.101243875215217	-9.10617137906069	8.53404718125728e-20	1.93969909222419e-17	AsnRS	2L
FBgn0010412	5768.45788108423	-0.640924145301292	0.0705427355526884	-9.08561512790478	1.03113943810035e-19	2.2835772633007e-17	RpS19a	X
FBgn0082976	101.324566156951	2.05210119403733	0.226309823710818	9.06766290737574	1.2159708126704e-19	2.62558497725856e-17	snoRNA:Psi28S-3305a	3R
FBgn0083004	856.641286448432	2.3950466972729	0.26465018831703	9.0498582770847	1.43154016655039e-19	3.01566156548675e-17	snoRNA:Psi28S-1175b	2R
FBgn0034401	1261.28919066282	-0.77713203118506	0.0859516267612204	-9.0415046284579	1.54529918559511e-19	3.17779739666309e-17	MetRS	2R
FBgn0003205	1300.79341049678	0.864429347232769	0.0959453056645628	9.00960543348443	2.06799165215287e-19	4.15377765108008e-17	Ras85D	3R
FBgn0085359	2710.17989852031	-0.732959868149022	0.0814245702343185	-9.0017038596551	2.22241347046127e-19	4.36249662372137e-17	CG34330	X
FBgn0082957	2474.9854380134	3.04018694202599	0.33834949168051	8.98534508482937	2.57923623466174e-19	4.95041407972742e-17	snoRNA:Psi28S-3405d	3R
FBgn0016691	321.474560577096	-1.05045415291592	0.117389124450511	-8.94847932321677	3.60412944426555e-19	6.62316298087692e-17	ATPsynO	3R
FBgn0085229	415.295689181752	0.983253667111438	0.109854387491035	8.9505179498787	3.53818236678639e-19	6.62316298087692e-17	CG34200	2R
FBgn0284245	61103.3620117945	-0.487623301602885	0.0546422042691917	-8.92393175064162	4.50021216097977e-19	8.09756925716298e-17	eEF1alpha1	2R
FBgn0010265	3932.28210860165	-0.809143010098162	0.0907586097016125	-8.91533059792768	4.86363014750127e-19	8.57289256815682e-17	RpS13	2L
FBgn0027090	560.635632818912	-0.87008654331104	0.097746503854173	-8.90145947940105	5.51170832241017e-19	9.52092495613133e-17	GlnRS	3R
FBgn0263489	68.325237397169	3.9600109650801	0.445063490829463	8.89763156645324	5.70510388414159e-19	9.66176122496685e-17	CR43604	2L
FBgn0013672	6198.59100175643	1.07923313045421	0.121798888588124	8.86077979006651	7.94566802516797e-19	1.31974489871876e-16	mt:ATPase6	mitochondrion_genome
FBgn0250868	240.030697028772	1.31626447463516	0.148897095800005	8.84009501705212	9.56372339515359e-19	1.55852601818758e-16	CG42239	2R
FBgn0030955	4930.03062575061	0.721655255084681	0.0818189081303099	8.82015259767739	1.14303841146628e-18	1.82822643700634e-16	CG6891	X
FBgn0014869	383.612135251784	-1.05584363792972	0.119783066850334	-8.814631864861	1.20078969127552e-18	1.88567646609939e-16	Pglym78	3R
FBgn0031457	494.317200848031	0.966414734886241	0.110155864940894	8.77315733851113	1.73725027699325e-18	2.67939832899834e-16	CG3077	2L
FBgn0267330	2977.23828950787	0.768112204441958	0.0884657195374689	8.68259715127994	3.86832548394896e-18	5.86153108857319e-16	KdelR	2L
FBgn0031263	1611.11555031598	0.654927023452266	0.0761180892393198	8.60409174740496	7.69234336156834e-18	1.12608084091298e-15	Tspo	2L
FBgn0013681	1039.43444279366	2.00527863172351	0.23301542148367	8.60577647159735	7.58018572942703e-18	1.12608084091298e-15	mt:ND3	mitochondrion_genome
FBgn0284256	1311.70951742228	-0.723719726533297	0.084686612034125	-8.54585759366156	1.27585262940845e-17	1.83658986003347e-15	bsf	2L
FBgn0260960	1298.7365187466	0.725023737869239	0.0850454695467749	8.52513063580038	1.52637453452807e-17	2.16119620569163e-15	Baldspot	3L
FBgn0039562	8675.26566623729	-0.69237635227351	0.0817492911393186	-8.46950894159498	2.46429700680429e-17	3.43292471738204e-15	Gp93	3R
