	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol	chr
FBgn0065064	2394.54826735623	-4.14969385947792	0.134966288810207	-30.7461507318567	1.37659164796026e-207	1.18896220634328e-203	snoRNA:Psi28S-291	3R
FBgn0041721	638.147507243797	-6.67965615660482	0.266268512898527	-25.0861661557046	7.0411468997135e-139	3.04071928864128e-135	snRNA:U12	3L
FBgn0004191	3025.13268477562	-5.96205086121049	0.243100889990583	-24.5250063109248	7.99414784661654e-133	2.3015151650409e-129	snRNA:U2:34ABa	2L
FBgn0033912	7043.91378992527	-1.41251527107021	0.0615978734552692	-22.9312343403533	2.26807752241132e-116	4.89734639026665e-113	RpS23	2R
FBgn0003930	1436.2641392219	-5.54056270968941	0.256944129756208	-21.5632974956321	3.97268384030787e-103	6.86241406574782e-100	snRNA:U4:39B	2L
FBgn0013678	28848.1467945198	2.2321247004587	0.108542991433499	20.5644295497998	5.71681791303647e-94	8.229359385816e-91	mt:Cyt-b	mitochondrion_genome
FBgn0267508	844.425177232248	-2.57104843207986	0.125209675766746	-20.5339436935329	1.07118274725477e-93	1.24316014602275e-90	28SrRNA-Psi:CR45848	rDNA
FBgn0002590	7192.82933640143	-1.13036890608201	0.0550582142377955	-20.5304316845433	1.15147402665069e-93	1.24316014602275e-90	RpS5a	X
FBgn0284245	61103.3620117945	-0.886850445930026	0.0435221363736486	-20.37699708296	2.67575465207527e-92	2.5678325477749e-89	eEF1alpha1	2R
FBgn0034138	3199.92531413131	-1.53965528247018	0.075974494170679	-20.2654232749651	2.59717784539872e-91	2.24318250507088e-88	RpS15	2R
FBgn0033699	4161.96322647581	-2.31662087585705	0.114563452514272	-20.221290691012	6.35973464110029e-91	4.99354800865302e-88	RpS11	2R
FBgn0000150	1421.26933099915	-1.68812579161955	0.0836534922090141	-20.1799799033094	1.46805858745275e-90	1.05663516831912e-87	awd	3R
FBgn0085819	1318.29113775953	-2.40071606076518	0.119281574546591	-20.12646186044	4.32816826485116e-90	2.87556840796303e-87	28SrRNA-Psi:CR41609	X
FBgn0261596	2513.37359923816	-1.86535499003832	0.0930017778314089	-20.0571971153044	1.74655506682763e-89	1.0774997222993e-86	RpS24	2R
FBgn0083987	1253.58175173518	-4.58493453022058	0.228638750577688	-20.0531822302042	1.89338040454147e-89	1.09020843693498e-86	snRNA:U11	3L
FBgn0028737	2389.65759691519	-1.46015298437173	0.0739819356227375	-19.7366150544859	1.04551888028852e-86	5.64384160565747e-84	eEF1beta	2R
FBgn0013763	2893.44429773037	-0.986436011548313	0.0506072261237142	-19.4919992085098	1.28366708490833e-84	6.52178388961955e-82	Idgf6	2R
FBgn0040010	1005.59226965494	1.3951335759754	0.0720417492728865	19.3656260440148	1.50514126991411e-83	7.22216952680452e-81	CG17493	2L
FBgn0020618	3805.1503518215	-1.64630870060496	0.0855373134084824	-19.2466730015594	1.50524502336674e-82	6.84252698253609e-80	Rack1	2L
FBgn0013686	148869.572379922	1.65843440632201	0.0863263945927749	19.2112089720101	2.98239265963411e-82	1.28794627006299e-79	mt:lrRNA	mitochondrion_genome
FBgn0010409	4744.0483130866	-1.50695951460631	0.0787125147327725	-19.1451069721557	1.06320042805945e-81	4.37279147483307e-79	RpL18A	2R
FBgn0002593	6680.62090521065	-1.97448340145808	0.103364222589864	-19.1021936989995	2.42098369911802e-81	9.50456191331014e-79	RpLP1	2L
FBgn0017579	4012.09749186884	-1.86628392032676	0.0982361391645077	-18.9979363623143	1.77382984344332e-80	6.66111667731303e-78	RpL14	3L
FBgn0013674	92521.2300631672	2.04147614069864	0.108474156550096	18.8199309920961	5.1852059640452e-79	1.86602599631077e-76	mt:CoI	mitochondrion_genome
FBgn0046696	2141.9626084854	-3.30913221497391	0.175957999619109	-18.806375510844	6.6962483853664e-79	2.31341989217639e-76	RNaseP:RNA	3R
FBgn0003279	7787.91887754735	-1.97974094450927	0.106060168442114	-18.6662059243266	9.32463333874033e-78	3.09757146718078e-75	RpL4	3R
FBgn0261597	4733.07721225265	-1.90309952767691	0.102456811818083	-18.5746510544946	5.15390361152556e-77	1.64867649973134e-74	RpS26	2L
FBgn0039713	7091.63271534613	-1.90073765930503	0.102357716847616	-18.5695589726247	5.66664766078611e-77	1.74795842307892e-74	RpS8	3R
FBgn0020910	12117.4783378053	-1.74301310014781	0.0942605446927512	-18.4914388711553	2.42009942528122e-76	7.20772370212203e-74	RpL3	3R
FBgn0033663	6006.16644891997	-0.950973598631918	0.0515582753475934	-18.4446355550236	5.75859573729545e-76	1.65789971276736e-73	ERp60	2R
FBgn0260960	1298.7365187466	1.30994656234203	0.0714652409571749	18.3298418195639	4.78293852814403e-75	1.33258838927677e-72	Baldspot	3L
FBgn0016726	1159.84456896877	-1.9292611262976	0.105360466656063	-18.3110533535832	6.75503223270932e-75	1.8232254185597e-72	RpL29	2R
FBgn0261592	4539.68112777321	-1.6494842944573	0.0912382094214491	-18.0788762177256	4.67513061025845e-73	1.22360918426673e-70	RpS6	X
FBgn0036213	4522.97982924143	-2.05674088492025	0.114578907391864	-17.9504319925667	4.7618537300024e-72	1.20965090194208e-69	RpL10Ab	3L
FBgn0014869	383.612135251784	-1.75597824372575	0.0978850272938979	-17.939191439907	5.82972131235277e-72	1.4386086564226e-69	Pglym78	3R
FBgn0039902	1248.55349654092	1.22547374312434	0.0684201691120732	17.9110013761732	9.67786990748134e-72	2.32188228863656e-69	Zip102B	4
FBgn0036921	3356.49621768143	1.24058428322689	0.069366438627001	17.8845030504996	1.55735463792578e-71	3.63537081290946e-69	RhoGDI	3L
FBgn0002626	2507.33805580861	-1.86684292431375	0.104466482165179	-17.8702573842007	2.01064541757e-71	4.56998538725055e-69	RpL32	3R
FBgn0284243	6905.00533411589	-0.933894476211103	0.0522850463892768	-17.8615979272161	2.34819443306425e-71	5.20034751753229e-69	betaTub56D	2R
FBgn0045800	819.130003373219	1.39864494502599	0.0783570276829972	17.8496426725677	2.90891630979346e-71	6.28107754192153e-69	Uhg1	2R
FBgn0001092	2409.55414968592	-1.06550670330126	0.0598554042760321	-17.8013450278862	6.89918064776485e-71	1.45337129889622e-68	Gapdh2	X
FBgn0011284	5781.0522743427	-2.02312042608329	0.114831615580327	-17.6181482413097	1.78761209287446e-69	3.67609658241827e-67	RpS4	3L
FBgn0261608	2323.65022467467	-1.71113565756789	0.097211788060235	-17.6021415891211	2.37183363806368e-69	4.76407607719908e-67	RpL37A	2L
FBgn0011272	4106.98979944023	-1.68874613300543	0.0964874075283773	-17.5022438291625	1.377345512788e-68	2.70366663498863e-66	RpL13	2L
FBgn0082974	115.018818936032	-3.79909387806911	0.217317722205063	-17.4817490240591	1.97351712622116e-68	3.78783720426048e-66	snoRNA:Psi28S-3305c	3R
FBgn0029897	4194.63049933686	-1.24771135386902	0.0717189159948052	-17.3972422276906	8.65716730758681e-68	1.62547726164407e-65	RpL17	X
FBgn0014184	2567.14918427489	1.05813213704708	0.0610239676530457	17.3396155271832	2.36312284892829e-67	4.34261532897737e-65	Oda	2R
FBgn0260798	799.342171608426	1.45456872502654	0.0839835202083662	17.3196922612639	3.34139845903389e-67	6.0124288522241e-65	Gprk1	2R
FBgn0037686	2553.06185982227	-1.47259540590413	0.0852032420585855	-17.2833259665352	6.28188000858575e-67	1.10727750273786e-64	RpL34b	3R
FBgn0034743	3311.18385730329	-2.25833294106696	0.130954555492102	-17.2451651840638	1.21664507529579e-66	2.10163270306594e-64	RpS16	2R
FBgn0266414	683.731358496853	1.51099566207407	0.0879782015114103	17.1746595874445	4.11057068475949e-66	6.96137235377798e-64	CR45054	3R
FBgn0015521	1442.12314896111	-1.1481442707812	0.0669756391483418	-17.1427146553722	7.12453360207243e-66	1.18335762925191e-63	RpS21	2L
FBgn0285949	1797.68598425701	-2.19850418019942	0.128660779185624	-17.0876019414398	1.83569010395016e-65	2.99148215619198e-63	RpL31	2R
FBgn0005593	5625.41622547145	-1.70847058600272	0.10038577667966	-17.0190503327439	5.93250226506927e-65	9.48870778951912e-63	RpL7	2L
