	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol	chr
FBgn0065064	2394.54826735623	-4.4800127422868	0.156005021316344	-28.7171060552103	2.3333814050407e-181	2.01534151953365e-177	snoRNA:Psi28S-291	3R
FBgn0033912	7043.91378992527	-1.93191096513154	0.0706700808505293	-27.3370419543969	1.53980560945029e-164	6.64965052441108e-161	RpS23	2R
FBgn0266019	2461.21561972344	2.84820784794627	0.107293078822403	26.5460538480845	2.85227078802724e-155	8.21168759873042e-152	rudhira	X
FBgn0267033	1665.08657973798	2.24289662073699	0.0889014271937335	25.2290282792568	1.9244255400048e-140	4.15531584725536e-137	mamo	X
FBgn0013678	28848.1467945198	3.01761632590163	0.123697365194293	24.3951544251716	1.92517768949806e-131	3.32555194083895e-128	mt:Cyt-b	mitochondrion_genome
FBgn0034138	3199.92531413131	-2.00520428676157	0.0875572552116442	-22.9016348435612	4.47512486135932e-116	6.44194223792674e-113	RpS15	2R
FBgn0266414	683.731358496853	2.25765290205122	0.0996209077314099	22.6624405806271	1.05187150326117e-113	1.29785916766668e-110	CR45054	3R
FBgn0015521	1442.12314896111	-1.74217635713556	0.0773135408719773	-22.5339098104485	1.93133668801929e-112	2.08511937180282e-109	RpS21	2L
FBgn0066084	4387.80418922201	-2.43961717188057	0.108907411329437	-22.4008370238542	3.86253211302115e-111	3.70674331779596e-108	RpL41	2R
FBgn0013674	92521.2300631672	2.73076030163099	0.123569729698647	22.0989420976364	3.23558826911953e-108	2.79457758803854e-105	mt:CoI	mitochondrion_genome
FBgn0016726	1159.84456896877	-2.66864066288711	0.123043672734663	-21.6885647475908	2.63066868182687e-104	2.06555321863079e-101	RpL29	2R
FBgn0262743	3909.77599503779	1.34172672341424	0.0623424682127285	21.5218736421524	9.71560629096923e-103	6.9928076279251e-100	Fs(2)Ket	2L
FBgn0041721	638.147507243797	-6.05236246054734	0.285070651796482	-21.2310962998332	4.92990481307453e-100	3.27535291311729e-97	snRNA:U12	3L
FBgn0017579	4012.09749186884	-2.39028160745752	0.112729554650574	-21.2036818105655	8.83101505965263e-100	5.4481055050157e-97	RpL14	3L
FBgn0002590	7192.82933640143	-1.30777543817281	0.0626470104201522	-20.8753048134621	8.97944917426736e-97	5.17036683454315e-94	RpS5a	X
FBgn0033699	4161.96322647581	-2.71112045672111	0.131150535794851	-20.6718214324485	6.21268839708111e-95	3.35368685534935e-92	RpS11	2R
FBgn0051324	1992.32434998708	1.65391638756842	0.080043928708059	20.6626088232211	7.51902435589813e-95	3.8201066683466e-92	CG31324	3R
FBgn0003930	1436.2641392219	-6.11806175544426	0.296751582458235	-20.6167788719554	1.94056202057954e-94	9.3114634287475e-92	snRNA:U4:39B	2L
FBgn0028737	2389.65759691519	-1.73330220375095	0.0849111997272905	-20.4131164006374	1.27866088950427e-92	5.81252321192018e-90	eEF1beta	2R
FBgn0284245	61103.3620117945	-1.00394315974245	0.0495772908160727	-20.2500609294483	3.54800877555882e-91	1.53220758972508e-88	eEF1alpha1	2R
FBgn0261703	1712.08051040174	1.50146260735971	0.0744028136092928	20.1801858629198	1.4619547360191e-90	6.01281097857e-88	gce	X
FBgn0035498	734.131479394028	1.62911904257901	0.082552440827052	19.7343534153281	1.09336692665297e-86	4.29245915704621e-84	Fit1	3L
FBgn0261608	2323.65022467467	-2.18122296000348	0.111028654801758	-19.6455857625049	6.30649185513469e-86	2.3682247892521e-83	RpL37A	2L
FBgn0261596	2513.37359923816	-2.03072348128778	0.105856249841502	-19.1837844655216	5.05626796347354e-82	1.81962443335504e-79	RpS24	2R
