	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol	chr
FBgn0082957	2474.9854380134	5.35500200795117	0.415969578581414	12.8735424023396	6.34251516627032e-38	5.47803034910767e-34	snoRNA:Psi28S-3405d	3R
FBgn0262871	427.871954829497	-1.47156783886119	0.124240344134104	-11.8445248129126	2.29716716629638e-32	9.92031640765094e-29	lute	3R
FBgn0086661	336.752405379065	2.80397836312988	0.23818771940367	11.7721365742531	5.43308064415868e-32	1.56418391745328e-28	snoRNA:Psi28S-2566	3L
FBgn0024555	2542.2903537065	-1.3420371461706	0.118975943052019	-11.2799034136156	1.64926957041969e-29	3.56118531992871e-26	flfl	3R
FBgn0083046	740.440809016463	4.39764537479637	0.421309579734585	10.4380379329774	1.6621047892166e-25	2.87111981289275e-22	snoRNA:Psi18S-1389a	2R
FBgn0083004	856.641286448432	3.19054079891265	0.315648988785799	10.1078758756226	5.09775169197595e-24	7.33821356059938e-21	snoRNA:Psi28S-1175b	2R
FBgn0002183	1765.5694689209	-0.847464653433123	0.0864801277075176	-9.79953054994684	1.13110100720069e-22	1.39561705702749e-19	dre4	3L
FBgn0082959	243.872729309837	4.83789934487465	0.513843122151203	9.41512912466512	4.72501272123686e-21	5.10124185916534e-18	snoRNA:Psi28S-3405b	3R
FBgn0083039	233.95566349646	2.10420284138513	0.22402903070067	9.39254539826405	5.85674512913952e-21	5.62052307559756e-18	snoRNA:Psi18S-301	3R
FBgn0050394	387.353552665826	-1.10847888634392	0.125161554433154	-8.85638478496154	8.26512301532664e-19	7.13858674833762e-16	CG30394	2R
FBgn0263485	495.625185748627	3.56179461019771	0.405833069380505	8.77650166763076	1.68638271431589e-18	1.32411704577694e-15	scaRNA:PsiU2-55	2R
FBgn0037899	587.526322788586	1.30638800103498	0.149313291260606	8.74930818285199	2.14664678092659e-18	1.42619909591253e-15	RpL24-like	3R
FBgn0027495	312.458442256738	-1.12004728861144	0.127884838106836	-8.75824925919476	1.98306267738773e-18	1.42619909591253e-15	Smyd4-4	2R
FBgn0031263	1611.11555031598	0.780041162996575	0.0897011563341655	8.69599896896169	3.43791568508281e-18	2.12094841229002e-15	Tspo	2L
FBgn0082958	116.444708744897	2.72684976954339	0.316219242031151	8.62328855141193	6.50582473900376e-18	3.74605388471837e-15	snoRNA:Psi28S-3405c	3R
FBgn0011474	942.073136436452	-1.16118196867558	0.136794078731501	-8.48853970466621	2.09249746597887e-17	1.12955628835372e-14	PR-Set7	3R
FBgn0086670	395.814371384187	4.22580417043661	0.501492728264247	8.42645153612267	3.56305286918719e-17	1.81024044889234e-14	snoRNA:Psi28S-2622	3L
FBgn0263474	181.487878618385	6.47942939974692	0.78992594499192	8.20257828069338	2.35285429955256e-16	1.12897792140197e-13	scaRNA:PsiU2-38.40.42	2L
FBgn0026401	5656.69025696802	-0.863410041752264	0.105626331024445	-8.17419324687558	2.97852096920788e-16	1.35397292689729e-13	Nipped-B	2R
FBgn0024921	3725.9237287812	-0.925046985450443	0.114032021522155	-8.1121686093298	4.97242372567694e-16	2.14734118593358e-13	Tnpo	3L
FBgn0083020	40.9843249430846	4.13387252309384	0.517089053889372	7.99450789375685	1.30092424114529e-15	5.35051555751041e-13	snoRNA:Psi18S-640g	2L
FBgn0087035	3598.53571773872	-0.728581371360381	0.0940827054787051	-7.74405208325232	9.62975327546038e-15	3.78055359273415e-12	AGO2	3L
FBgn0010412	5768.45788108423	-0.663953588653873	0.0858101555396578	-7.73747098438742	1.01413816534406e-14	3.80830927568551e-12	RpS19a	X
FBgn0086662	363.356189748284	4.22619848742346	0.546985049945691	7.72635099961702	1.10673203306903e-14	3.98285190400717e-12	snoRNA:Psi28S-3186	3R
FBgn0004587	2674.3114900838	0.548777329096152	0.0712948117232514	7.69729684154814	1.38974795517272e-14	4.80130123553072e-12	B52	3R
FBgn0011509	750.927136295224	-0.809047109487024	0.106483311784582	-7.59787703751872	3.01028151095259e-14	9.99992361926828e-12	SrpRbeta	3L
FBgn0025366	1346.93468314827	-0.789797622115823	0.104747127719293	-7.54004085183475	4.69824254508735e-14	1.5029155874785e-11	Ip259	2L
FBgn0015756	5249.05091399183	1.10317437607758	0.14644054502218	7.53325778670442	4.94897702370239e-14	1.52658266263277e-11	RpL9	2L
FBgn0082967	188.664709446062	3.76588616814026	0.507111628579289	7.42614831904106	1.11805622761538e-13	3.32987987514276e-11	snoRNA:Psi28S-3327a	3L
FBgn0038805	368.855254210511	1.01727235719397	0.137721508325678	7.38644507717978	1.50806400128131e-13	4.07628939899322e-11	TFAM	3R
FBgn0004924	1704.31684461608	-0.758747276657302	0.10266727421214	-7.39035181833615	1.46440817780291e-13	4.07628939899322e-11	Top1	X
FBgn0259927	481.997122221608	-0.82635585299155	0.111877569333495	-7.38625139886862	1.51026121069565e-13	4.07628939899322e-11	CG42450	X
FBgn0030891	527.128351007377	0.815923476256676	0.110878717917977	7.35870229722766	1.85706664313958e-13	4.86044987781715e-11	Ada3	X
FBgn0038516	285.85942247076	1.18588785748246	0.162199775554486	7.31127927537789	2.64610912800818e-13	6.72189545253138e-11	P5cr-2	3R
FBgn0082960	64.5978373208941	2.38386562449	0.32877478407009	7.25075565400355	4.14452784922586e-13	1.02275105810754e-10	snoRNA:Psi28S-3405a	3R
FBgn0033226	1237.52406518782	0.632923807867563	0.0878462836056156	7.20490135597612	5.80858848787624e-13	1.39357718804964e-10	CG1882	2R
FBgn0082976	101.324566156951	2.00662835600784	0.279676228757532	7.17482628009658	7.23990583435683e-13	1.69002882949567e-10	snoRNA:Psi28S-3305a	3R
FBgn0031091	198.520819389565	-1.2529668642354	0.174995933691338	-7.15997702235421	8.06905847472552e-13	1.82702552299759e-10	Phf7	X
FBgn0030245	1928.17402292533	-0.789124204758046	0.110260019641837	-7.15693872830242	8.24985474087138e-13	1.82702552299759e-10	CG1637	X
FBgn0083005	442.425908553234	3.69637627387991	0.519633837341847	7.11342489316801	1.13198099309941e-12	2.4442299593499e-10	snoRNA:Psi28S-1175a	2R
FBgn0037010	638.715744221364	-0.890559658986706	0.126043483719138	-7.06549543625069	1.60043946684203e-12	3.37146235978404e-10	CG4825	3L
FBgn0027532	1010.52091427027	-0.650745840507828	0.0924881076181069	-7.03599475940005	1.97844373499102e-12	3.97391128816685e-10	CG7139	3L
FBgn0002774	861.580853122342	-0.666574749268509	0.0947263249986737	-7.0368479857932	1.96637174358156e-12	3.97391128816685e-10	mle	2R
FBgn0015040	735.408890031279	-0.971995721945618	0.138969731528701	-6.99429804788011	2.66590285311662e-12	5.23304612326551e-10	Cyp9c1	2R
FBgn0034176	737.302221548619	-0.843532522766405	0.121308374803153	-6.95362149674498	3.56026049882758e-12	6.83332665074974e-10	ste24a	2R
FBgn0010213	214.39529439747	-1.4705158484974	0.212913785483128	-6.90662582115395	4.96316748023271e-12	9.31888641886302e-10	Sod2	2R
FBgn0082973	230.149039454887	3.98881458466019	0.578176732914173	6.89895382776032	5.23868933716404e-12	9.62692761810337e-10	snoRNA:Psi28S-3308	3L
FBgn0033005	1541.76976791987	-0.713142112849812	0.104254099027147	-6.84042276998733	7.89598065153295e-12	1.42078301848521e-09	CG3107	2R
FBgn0033376	270.3338296218	-0.963868995339598	0.142053829841733	-6.78523765542594	1.1589557070411e-11	2.04283682483958e-09	CG8777	2R
